Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
1,70,10,13.4352,5.40541,10.82,122.846
1,70,10,2.7595,0,0.5,0
1,70,10,22.4296,9.09189,20.8,145.888
1,70,10,9.4332,1.08108,6.71,111.738
1,70,10,20.949,9.72973,20.44,134.314
1,70,10,13.6034,3.78378,10.22,134.349
1,70,10,8.8993,5.51351,8.27,161.278
1,70,10,11.8072,3.78378,9.77,138.426
1,70,10,24.5664,8.10811,22.21,128.566
1,70,10,5.1521,1.62162,3.51,125.686
1,70,10,2.1234,0,0.01,0
1,70,10,9.7323,3.24324,7.67,138.061
1,70,10,15.9835,3.78378,15.1,126.702
1,70,10,21.8983,7.56757,17.95,143.577
1,70,10,24.0104,6.48649,20.89,122.224
1,70,10,20.7603,5.94595,17.77,139.443
1,70,10,10.3563,3.24324,7.81,131.513
1,75,10,4.1577,1.62162,3.4,137.149
1,75,10,4.0648,1.08108,2.12,119.972
1,75,10,15.2387,6.48649,13.52,130.604
1,75,10,8.3958,3.24324,7,121.733
1,75,10,13.0599,3.24324,11.03,154.234
1,75,10,2.1224,0,0.02,0
1,75,10,6.3675,2.16216,5.33,158.243
1,75,10,11.9092,2.7027,9.57,116.049
1,75,10,17.1514,4.86486,14.15,120.281
1,75,10,7.9635,2.16216,6.84,132.661
1,75,10,23.3137,4.32432,20.06,122.059
1,75,10,14.7627,3.78378,12.3,127.953
1,75,10,11.1671,2.7027,8.51,124.45
1,75,10,4.1992,0,1.64,0
1,75,10,29.1784,6.3027,24.12,122.754
1,75,10,12.4095,3.78378,10.74,121.535
1,75,10,10.2546,2.7027,8.87,119.42
