,Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation
161,1,20,1,,1.9665,0.0,0.0,
162,1,20,1,,1.614,0.0,0.0,
163,1,20,1,,12.5615,0.0,8.65,
164,1,20,1,,14.474,2.7027027027027026,12.15,133.76086690514043
165,1,20,1,,1.838,0.0,0.0,
166,1,20,1,,2.3935,0.0,0.0,
167,1,20,1,,3.3925,0.0,0.0,
168,1,20,1,,61.1805,2.7027027027027026,49.8,103.69089026189532
169,1,20,1,,2.2875,0.0,0.0,
170,1,20,1,,2.231,0.0,0.1,
171,1,20,1,,1.5595,0.0,0.0,
172,1,20,1,,92.2885,2.7027027027027026,77.45,100.39133058284021
173,1,20,1,,36.947,2.7027027027027026,29.4,144.59492517435086
174,1,20,1,,1.912,0.0,0.2,
175,1,20,1,,64.572,1.7297297297297298,55.9,119.68737759502386
176,1,20,1,,80.319,2.7027027027027026,66.7,123.96389827241875
177,1,20,1,,91.6305,2.7027027027027026,73.75,111.65113798269755
178,1,20,1,,16.831,2.7027027027027026,17.45,111.95879878897729
179,1,20,1,,2.1915,0.0,0.0,
180,1,20,1,,56.314,0.0,48.6,
181,1,20,1,,1.405,0.0,0.0,
182,1,20,1,,1.6945,0.0,0.0,
183,1,20,1,,1.5015,0.0,0.0,
184,1,20,1,,41.853,2.7027027027027026,36.5,107.94084355268325
185,1,20,1,,1.936,0.0,0.0,
186,1,20,1,,2.2525,0.0,0.0,
187,1,20,1,,1.653,0.0,0.0,
188,1,20,1,,1.3455,0.0,0.0,
189,1,20,1,,105.9635,2.7027027027027026,85.95,132.68270984978167
190,1,20,1,,2.2305,0.0,0.25,
191,1,20,1,,2.7565,0.0,0.0,
192,1,20,1,,2.194,0.0,0.0,
193,1,20,1,,101.7215,2.7027027027027026,79.45,117.97596580266281
194,1,20,1,,2.238,0.0,0.0,
195,1,20,1,,18.377,2.7027027027027026,15.0,104.29508367645806
196,1,20,1,,97.707,2.7027027027027026,77.3,159.53067071938324
197,1,20,1,,1.7135,0.0,0.0,
198,1,20,1,,2.0105,0.0,0.0,
199,1,20,1,,2.991,0.0,0.0,
200,1,30,1,,2.059,0.0,0.0,
201,1,30,1,,1.5385,0.0,0.0,
202,1,30,1,,26.8215,0.0,21.15,
203,1,30,1,,57.843,8.108108108108109,51.9,119.16434407666134
204,1,30,1,,3.1185,0.0,0.0,
205,1,30,1,,1.9275,0.0,0.0,
206,1,30,1,,1.948,0.0,0.0,
207,1,30,1,,2.027,0.0,0.0,
208,1,30,1,,34.802,2.7027027027027026,24.6,124.6788169308235
209,1,30,1,,2.098,0.0,0.0,
210,1,30,1,,79.1245,2.7027027027027026,71.95,128.24734997145566
211,1,30,1,,2.579,0.0,0.0,
212,1,30,1,,1.7735,0.0,0.0,
213,1,30,1,,2.3025,0.0,0.0,
214,1,30,1,,1.5955,0.0,0.0,
215,1,30,1,,2.469,0.0,0.0,
216,1,30,1,,75.657,2.7027027027027026,73.25,140.9706110784262
217,1,30,1,,2.9545,0.0,1.55,
218,1,30,1,,2.518,0.0,0.0,
219,1,30,1,,62.8605,0.0,63.0,
220,1,30,1,,2.3735,0.0,0.0,
221,1,30,1,,2.4625,0.0,0.4,
222,1,30,1,,2.6145,0.0,0.0,
223,1,30,1,,1.958,0.0,0.0,
224,1,30,1,,1.7395,0.0,0.0,
225,1,30,1,,104.892,0.0,85.9,
226,1,30,1,,1.5795,0.0,0.0,
227,1,30,1,,82.939,2.7027027027027026,79.2,120.63319145912996
228,1,30,1,,54.1385,0.0,49.45,
229,1,30,1,,2.1295,0.0,0.05,
230,1,30,1,,2.713,0.0,0.0,
231,1,30,1,,2.254,0.0,0.8,
232,1,30,1,,1.9285,0.0,0.45,
233,1,30,1,,1.984,0.0,0.0,
234,1,30,1,,23.6645,5.405405405405405,21.5,132.02237926316266
